City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Pascagoula,US,73.45,overcast clouds,30.3658,-88.5561,Regency Inn
502,Goure,NE,86.02,overcast clouds,13.9835,10.2704,
503,Jiuquan,CN,86.9,scattered clouds,39.7432,98.5174,Jiuquan Hotel
506,Salinopolis,BR,77.0,very heavy rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
507,Le Moule,GP,77.04,overcast clouds,16.3332,-61.3473,Lakaz Hananou
508,Karpathos,GR,67.96,clear sky,35.507,27.2132,Alex
510,Meulaboh,ID,84.47,overcast clouds,4.1363,96.1285,Kost Pria
511,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
512,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
515,Tucupita,VE,72.01,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
516,Wasilla,US,67.42,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
518,Bonthe,SL,76.77,moderate rain,7.5264,-12.505,Bonthe Holiday Village
519,Lorengau,PG,85.69,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Sterling,US,70.09,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
521,Nargana,PA,80.64,overcast clouds,9.4428,-78.5906,Dubbir
524,Kutum,SD,72.97,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
525,Bozoum,CF,68.18,overcast clouds,6.3193,16.3799,
528,Saint-Georges,GD,78.8,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
529,Kushima,JP,76.6,light rain,31.4583,131.2333,Hanaoka
534,Banda Aceh,ID,87.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
537,Pafos,CY,67.23,clear sky,34.7667,32.4167,Elysium Hotel
539,Fulton,US,76.55,light rain,33.7668,-84.4499,The Blue Door
540,Teya,RU,69.33,clear sky,60.3778,92.6267,
541,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
542,Nicoya,CR,77.92,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
543,Tual,ID,83.32,few clouds,-5.6667,132.75,Grand Vilia Hotel
544,Nome,US,65.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
545,Maunabo,PR,80.44,scattered clouds,18.0072,-65.8993,Maunacaribe
550,Yantzaza,EC,66.16,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
552,Inhambane,MZ,66.18,thunderstorm with light rain,-23.865,35.3833,Oceano
554,Wilmington,US,74.98,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
555,Itarema,BR,74.21,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
556,Fukue,JP,73.76,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
557,Tikrit,IQ,76.86,overcast clouds,34.6071,43.6782,عماره العبطه
560,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
