City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
231,East London,-33.0153,27.9116,clear sky,54.54,94,0,5.75,ZA
232,Workington,54.6425,-3.5441,overcast clouds,50.81,96,100,8.72,GB
233,Rio Gallegos,-51.6226,-69.2181,scattered clouds,32.05,80,40,13.4,AR
234,Bandarbeyla,9.4942,50.8122,overcast clouds,87.89,58,100,21.21,SO
235,Nyrsko,49.2939,13.1435,overcast clouds,60.26,70,93,2.64,CZ
236,Akola,20.7333,77.0,clear sky,90.1,42,0,17.0,IN
237,Roma,43.2128,-75.4557,broken clouds,54.95,91,75,8.05,US
238,Taber,49.8167,-112.1518,broken clouds,53.8,39,72,2.3,CA
239,George,-33.963,22.4617,clear sky,49.55,87,0,4.61,ZA
240,Belmonte,-15.8631,-38.8828,broken clouds,70.77,80,59,7.45,BR
241,Bathsheba,13.2167,-59.5167,few clouds,81.21,78,20,12.66,BB
242,Portland,45.5234,-122.6762,overcast clouds,66.15,56,100,6.91,US
243,Broken Hill,-31.95,141.4333,clear sky,65.89,49,0,10.29,AU
244,Kieta,-6.2167,155.6333,scattered clouds,84.02,71,32,4.47,PG
245,Qiongshan,20.0058,110.3542,scattered clouds,89.58,66,40,8.95,CN
246,Elizabeth City,36.2946,-76.2511,clear sky,75.22,86,0,10.36,US
247,Saldanha,-33.0117,17.9442,overcast clouds,48.25,89,99,3.8,ZA
248,Sept-Iles,50.2001,-66.3821,overcast clouds,50.52,88,100,12.66,CA
249,Chuy,-33.6971,-53.4616,scattered clouds,50.49,88,28,4.83,UY
250,Korla,41.7597,86.1469,overcast clouds,87.75,14,100,16.64,CN
251,Barranca,-10.75,-77.7667,scattered clouds,63.52,86,47,5.23,PE
252,Pili,13.5833,123.3,broken clouds,89.94,58,67,5.99,PH
253,Monopoli,40.9559,17.2896,overcast clouds,69.71,64,86,2.37,IT
254,Bosaso,11.2842,49.1816,clear sky,87.78,62,0,10.36,SO
255,Coquimbo,-29.9533,-71.3436,clear sky,53.33,100,0,2.3,CL
256,Ajdovscina,45.886,13.9095,overcast clouds,67.44,98,100,3.96,SI
